t (s),V (mV)
0,13.2916
1.05,13.2854
2.055,13.2619
3.055,13.2409
4.055,13.2166
5.055,13.2028
6.054,13.1895
7.055,13.1794
8.055,13.1635
9.054,13.1398
10.054,13.1263
11.054,13.1106
12.055,13.0998
13.055,13.0777
14.054,13.0498
15.054,13.0396
16.055,13.0364
17.055,13.0081
18.055,13.0069
19.054,12.9843
20.054,12.9573
21.055,12.9402
22.055,12.924
23.055,12.9067
24.055,12.8887
25.06,12.8668
26.054,12.8527
27.054,12.8313
28.055,12.8091
29.055,12.7789
30.055,12.7699
31.054,12.7527
32.054,12.733
33.055,12.6994
34.055,12.6932
35.055,12.6783
36.055,12.6564
37.055,12.6449
38.055,12.6288
39.054,12.6063
40.054,12.588
41.054,12.5735
42.055,12.5497
43.055,12.5328
44.055,12.5125
45.055,12.496
46.055,12.486
47.055,12.4704
48.055,12.4527
49.06,12.4457
50.055,12.4261
51.055,12.4069
52.055,12.3889
53.054,12.3722
54.054,12.3608
55.054,12.344
56.054,12.3246
57.055,12.3092
58.055,12.2905
59.054,12.2781
60.055,12.2623
61.055,12.2481
62.055,12.2331
63.055,12.2153
64.055,12.2032
65.054,12.1811
66.055,12.1638
67.055,12.148
68.054,12.1343
69.055,12.1215
70.055,12.0978
71.054,12.0825
72.055,12.0692
73.055,12.0547
74.054,12.0397
75.055,12.0225
76.055,12.0016
77.055,11.9875
78.054,11.9764
79.055,11.9605
80.054,11.9465
81.054,11.928
82.055,11.9133
83.054,11.8982
84.054,11.8856
85.055,11.8646
86.055,11.8434
87.055,11.8383
88.055,11.8221
89.055,11.8079
90.055,11.7934
91.059,11.7774
92.054,11.7645
93.055,11.7489
94.055,11.7311
95.055,11.7133
96.055,11.6975
97.056,11.6851
98.055,11.6721
99.055,11.6605
100.055,11.651
101.055,11.6352
102.055,11.6209
103.056,11.6095
104.055,11.594
105.055,11.5762
106.055,11.5676
107.055,11.5577
108.054,11.541
109.054,11.5234
110.055,11.517
111.055,11.5
112.055,11.4869
113.054,11.4751
114.055,11.4585
115.055,11.4453
116.055,11.4315
117.055,11.4161
118.054,11.4021
119.055,11.3909
120.055,11.3754
121.054,11.3655
122.054,11.3464
123.055,11.3388
124.055,11.3267
125.054,11.3108
126.055,11.2958
127.055,11.2844
128.055,11.2686
129.054,11.2509
130.054,11.24
131.055,11.2262
132.055,11.2085
133.054,11.1919
134.054,11.1829
135.055,11.1631
136.055,11.1671
137.054,11.1527
138.054,11.1295
139.054,11.1281
140.055,11.1043
141.055,11.0995
142.055,11.0958
143.054,11.0779
144.054,11.0659
145.055,11.0477
146.055,11.0414
147.054,11.0229
148.054,11.0135
149.054,11.0007
150.055,10.9915
151.055,10.979
152.055,10.9615
153.054,10.954
154.054,10.9426
155.054,10.9253
156.054,10.9146
157.055,10.9042
158.055,10.8923
159.055,10.8722
160.054,10.8675
161.055,10.8506
162.055,10.8388
163.054,10.8263
164.055,10.8168
165.055,10.8033
166.054,10.792
167.055,10.7821
168.055,10.7604
169.054,10.7443
170.055,10.7432
171.054,10.7315
172.055,10.721
173.055,10.7063
174.054,10.6952
175.055,10.6853
176.054,10.6716
177.055,10.6641
178.055,10.6503
179.055,10.6367
180.054,10.6291
181.054,10.6179
182.054,10.6035
183.054,10.5946
184.053,10.5792
185.053,10.5663
186.054,10.5563
187.054,10.5453
188.054,10.5306
189.053,10.519
190.053,10.5055
191.053,10.4923
192.054,10.48
193.054,10.4683
194.054,10.4547
195.054,10.4398
196.054,10.4362
197.054,10.4204
198.054,10.4084
199.054,10.4009
200.053,10.3873
201.053,10.3705
202.053,10.3652
203.053,10.3495
204.053,10.3408
205.053,10.3269
206.053,10.3106
207.053,10.3004
208.054,10.2962
209.054,10.2735
210.054,10.2577
211.054,10.2504
212.054,10.2571
213.054,10.2415
214.053,10.2277
215.054,10.2127
216.054,10.2014
217.053,10.192
218.053,10.1844
219.053,10.1685
220.053,10.1595
221.054,10.1436
222.054,10.1325
223.053,10.1295
224.053,10.12
225.053,10.1072
226.054,10.0903
227.054,10.0836
228.053,10.0517
229.054,10.0494
230.053,10.0358
231.054,10.031
232.054,10.0075
233.054,10
234.054,9.9872
235.059,9.9998
236.054,9.9817
237.054,9.9701
238.055,9.948
239.055,9.945
240.055,9.9242
241.054,9.9292
242.054,9.9034
243.055,9.8969
244.055,9.8971
245.054,9.8856
246.055,9.8786
247.055,9.8709
248.054,9.8611
249.055,9.8511
250.054,9.8373
251.054,9.8261
252.054,9.8186
253.055,9.8065
254.055,9.7963
255.055,9.7838
256.054,9.7722
257.055,9.764
258.055,9.7542
259.059,9.7488
260.055,9.7318
261.055,9.7162
262.055,9.7073
263.054,9.6921
264.054,9.6782
265.059,9.6821
266.055,9.6505
267.054,9.6599
268.054,9.6463
269.055,9.6378
270.055,9.614
271.054,9.5996
272.054,9.6062
273.055,9.593
274.055,9.5887
275.054,9.5714
276.054,9.5509
277.055,9.5625
278.054,9.543
279.054,9.5386
280.055,9.522
281.054,9.511
282.054,9.5011
283.059,9.4918
284.054,9.4835
285.054,9.4724
286.055,9.4619
287.055,9.4502
288.055,9.4428
289.055,9.4388
290.055,9.4287
291.055,9.4281
292.054,9.4089
293.055,9.4063
294.054,9.3879
295.054,9.3811
296.054,9.3666
297.055,9.3583
298.055,9.3512
299.055,9.3427
300.055,9.3303
301.054,9.3185
302.054,9.3136
303.055,9.3018
304.055,9.3022
305.054,9.2966
306.054,9.2851
307.055,9.2784
308.055,9.2681
309.055,9.257
310.055,9.2542
311.055,9.2432
312.055,9.2276
313.057,9.2148
314.055,9.2031
315.055,9.2014
316.054,9.1914
317.054,9.1802
